video_number,IoU,DC,PA,TP,TN,FPN
1,0.935902713300361,0.966676275052029,0.992201567050162,232890.245847176091047,1824538.923588039819151,16170.830564784053422
2,0.940968215658161,0.969439485239794,0.992814134213116,234287.923588039877359,1824411.465116278966889,14900.611295681062984
3,0.950964214849671,0.974861678749046,0.994063102415816,237918.983388704305980,1823370.265780730871484,12310.750830564784337
4,0.947188659985642,0.972867957918452,0.993536491658463,240444.003322259144625,1819753.265780730871484,13402.730897009967521
5,0.948121506369503,0.973361808574888,0.993658320644149,240427.262458471755963,1820022.631229235790670,13150.106312292358780
6,0.942385594161238,0.970329450608892,0.992916669871006,240430.009966777404770,1818481.996677740942687,14687.993355481727122
7,0.939087706354723,0.968550877148790,0.992161474355031,249856.225913621252403,1807489.807308970019221,16253.966777408637427
8,0.947485095909756,0.973030560722629,0.993323491204729,249735.063122923602350,1810020.528239202685654,13844.408637873753833
9,0.936873893234995,0.967404032858979,0.991865540789960,250392.172757475083927,1806340.212624584790319,16867.614617940198514
10,0.939815027155764,0.968971788234939,0.992403938709958,245812.973421926901210,1812035.833887043176219,15751.192691029900743
11,0.941654782080701,0.969947094509077,0.992650685664554,245737.003322259144625,1812623.458471760852262,15239.538205980066778
12,0.938447396944793,0.968244617086126,0.992204785809134,246300.076411960122641,1811135.767441860400140,16164.156146179402640
