"Tidsmerke","Have you signed the consent form?","How old are you?","Gender","Education","What is your occupation? If you are a student, please state the category most fitting to your study. Don't answer if you're not working.","How satisfied are you with the quality of the silhouette extraction?","Did you notice any artefacts with the silhouette extraction?","Do you think the artefacts were annoying?","How satisfied are you with the quality of the silhouette extraction?","Did you notice any artefacts with the silhouette extraction?","Do you think the artefacts were annoying?","How satisfied are you with the quality of the silhouette extraction?","Did you notice any artefacts with the silhouette extraction?","Do you think the artefacts were annoying?","How satisfied are you with the quality of the silhouette extraction?","Did you notice any artefacts with the silhouette extraction?","Do you think the artefacts were annoying?","How satisfied are you with the quality of the silhouette extraction?","Did you notice any artefacts with the silhouette extraction?","Do you think the artefacts were annoying?","How satisfied are you with the quality of the silhouette extraction?","Did you notice any artefacts with the silhouette extraction?","Do you think the artefacts were annoying?","How satisfied are you with the quality of the silhouette extraction?","Did you notice any artefacts with the silhouette extraction?","Do you think the artefacts were annoying?","How satisfied are you with the quality of the silhouette extraction?","Did you notice any artefacts with the silhouette extraction?","Do you think the artefacts were annoying?","How satisfied are you with the quality of the silhouette extraction?","Did you notice any artefacts with the silhouette extraction?","Do you think the artefacts were annoying?","How satisfied are you with the quality of the silhouette extraction?","Did you notice any artefacts with the silhouette extraction?","Do you think the artefacts were annoying?","How satisfied are you with the quality of the silhouette extraction?","Did you notice any artefacts with the silhouette extraction?","Do you think the artefacts were annoying?","How satisfied are you with the quality of the silhouette extraction?","Did you notice any artefacts with the silhouette extraction?","Do you think the artefacts were annoying?","Do you have any additional feedback on the contents of the videos? What is your general impression? Any feedback is welcome. Du kan skrive på norsk om du vil."
"2021/11/15 11:15:03 a.m. CET","Yes","35 - 44","Male","Higher than master's degree","IT and computers","Slightly satisfied","Very noticable","Very annoying","Very satisfied","Slightly noticable","Slightly annoying","Very satisfied","Slightly noticable","Slightly annoying","Moderately satisfied","Very noticable","Moderately annoying","Very satisfied","Not at all noticable","Not at all annoying","Slightly satisfied","Very noticable","Very annoying","Moderately satisfied","Very noticable","Very annoying","Very satisfied","Slightly noticable","Not at all annoying","Moderately satisfied","Moderately noticable","Moderately annoying","Moderately satisfied","Very noticable","Moderately annoying","Moderately satisfied","Very noticable","Very annoying","Moderately satisfied","Very noticable","Moderately annoying","The examples are good"
"2021/11/15 4:42:21 p.m. CET","Yes","25 - 34","Male","Master's degree","Electronics","Slightly satisfied","Extremely noticable","Very annoying","Moderately satisfied","Very noticable","Moderately annoying","Slightly satisfied","Extremely noticable","Very annoying","Not at all satisfied","Extremely noticable","Extremely annoying","Very satisfied","Slightly noticable","Slightly annoying","Not at all satisfied","Extremely noticable","Extremely annoying","Not at all satisfied","Extremely noticable","Extremely annoying","Very satisfied","Slightly noticable","Slightly annoying","Slightly satisfied","Very noticable","Very annoying","Slightly satisfied","Extremely noticable","Very annoying","Slightly satisfied","Extremely noticable","Very annoying","Slightly satisfied","Extremely noticable","Very annoying",""
"2021/11/15 5:43:32 p.m. CET","Yes","18 - 24","Male","Some higher education, no degree","Science","Moderately satisfied","Very noticable","Moderately annoying","Very satisfied","Slightly noticable","Slightly annoying","Moderately satisfied","Very noticable","Moderately annoying","Not at all satisfied","Extremely noticable","Very annoying","Completely satisfied","Not at all noticable","Not at all annoying","Not at all satisfied","Extremely noticable","Very annoying","Slightly satisfied","Extremely noticable","Moderately annoying","Very satisfied","Moderately noticable","Not at all annoying","Slightly satisfied","Extremely noticable","Moderately annoying","Moderately satisfied","Very noticable","Slightly annoying","Slightly satisfied","Very noticable","Very annoying","Slightly satisfied","Extremely noticable","Very annoying","Likte dansen"
"2021/11/15 7:42:10 p.m. CET","Yes","45 - 54","Male","Bachelor's degree","Oil, gass and energy","Moderately satisfied","Moderately noticable","Moderately annoying","Moderately satisfied","Moderately noticable","Moderately annoying","Slightly satisfied","Very noticable","Very annoying","Slightly satisfied","Very noticable","Very annoying","Completely satisfied","Not at all noticable","Not at all annoying","Slightly satisfied","Extremely noticable","Very annoying","Slightly satisfied","Very noticable","Very annoying","Completely satisfied","Not at all noticable","Not at all annoying","Slightly satisfied","Very noticable","Very annoying","Moderately satisfied","Very noticable","Moderately annoying","Slightly satisfied","Very noticable","Very annoying","Moderately satisfied","Very noticable","Very annoying",""
"2021/11/15 7:43:37 p.m. CET","Yes","18 - 24","Female","High school or equivalent","","Very satisfied","Moderately noticable","Slightly annoying","Completely satisfied","Slightly noticable","Not at all annoying","Moderately satisfied","Very noticable","Slightly annoying","Moderately satisfied","Very noticable","Moderately annoying","Completely satisfied","Not at all noticable","Not at all annoying","Moderately satisfied","Extremely noticable","Very annoying","Slightly satisfied","Extremely noticable","Very annoying","Completely satisfied","Not at all noticable","Not at all annoying","Very satisfied","Slightly noticable","Slightly annoying","Very satisfied","Moderately noticable","Slightly annoying","Moderately satisfied","Moderately noticable","Slightly annoying","Moderately satisfied","Moderately noticable","Slightly annoying",""
"2021/11/15 8:13:58 p.m. CET","Yes","18 - 24","Female","Bachelor's degree","Health","Slightly satisfied","Extremely noticable","Very annoying","Slightly satisfied","Very noticable","Moderately annoying","Slightly satisfied","Very noticable","Very annoying","Not at all satisfied","Extremely noticable","Very annoying","Very satisfied","Slightly noticable","Not at all annoying","Not at all satisfied","Extremely noticable","Very annoying","Not at all satisfied","Extremely noticable","Very annoying","Very satisfied","Slightly noticable","Not at all annoying","Not at all satisfied","Very noticable","Moderately annoying","Slightly satisfied","Very noticable","Moderately annoying","Slightly satisfied","Very noticable","Moderately annoying","Slightly satisfied","Very noticable","Moderately annoying","Undersøkelse med høg kvalitet."
"2021/11/15 8:15:06 p.m. CET","Yes","35 - 44","Female","Bachelor's degree","Children","Not at all satisfied","Not at all noticable","Slightly annoying","Completely satisfied","Not at all noticable","Not at all annoying","Moderately satisfied","Not at all noticable","Not at all annoying","Not at all satisfied","Slightly noticable","Extremely annoying","Completely satisfied","Not at all noticable","Not at all annoying","Not at all satisfied","Very noticable","Extremely annoying","Not at all satisfied","Extremely noticable","Extremely annoying","Moderately satisfied","Slightly noticable","Extremely annoying","Slightly satisfied","Very noticable","Extremely annoying","Slightly satisfied","Very noticable","Extremely annoying","Not at all satisfied","Extremely noticable","Extremely annoying","Not at all satisfied","Extremely noticable","Extremely annoying","Vet ikke helt hva jeg svarte på her men du tar deg godt ut på video :) milla"
"2021/11/15 8:27:25 p.m. CET","Yes","25 - 34","Male","Bachelor's degree","Electronics","Not at all satisfied","Extremely noticable","Moderately annoying","Very satisfied","Slightly noticable","Not at all annoying","Moderately satisfied","Very noticable","Moderately annoying","Slightly satisfied","Extremely noticable","Moderately annoying","Completely satisfied","Not at all noticable","Not at all annoying","Not at all satisfied","Extremely noticable","Very annoying","Slightly satisfied","Very noticable","Moderately annoying","Moderately satisfied","Moderately noticable","Moderately annoying","Slightly satisfied","Very noticable","Very annoying","Moderately satisfied","Very noticable","Moderately annoying","Slightly satisfied","Very noticable","Moderately annoying","Slightly satisfied","Extremely noticable","Moderately annoying",""
"2021/11/15 10:05:13 p.m. CET","Yes","25 - 34","Male","High school or equivalent","Oil, gass and energy","Moderately satisfied","Slightly noticable","Slightly annoying","Very satisfied","Slightly noticable","Slightly annoying","Moderately satisfied","Moderately noticable","Slightly annoying","Slightly satisfied","Very noticable","Moderately annoying","Very satisfied","Not at all noticable","Not at all annoying","Slightly satisfied","Very noticable","Moderately annoying","Moderately satisfied","Moderately noticable","Slightly annoying","Very satisfied","Not at all noticable","Not at all annoying","Very satisfied","Slightly noticable","Not at all annoying","Moderately satisfied","Moderately noticable","Slightly annoying","Moderately satisfied","Moderately noticable","Slightly annoying","Moderately satisfied","Moderately noticable","Slightly annoying",""
"2021/11/15 10:07:11 p.m. CET","Yes","55 - 64","Male","Bachelor's degree","Office and administration","Moderately satisfied","Moderately noticable","Slightly annoying","Very satisfied","Very noticable","Not at all annoying","Moderately satisfied","Moderately noticable","Moderately annoying","Slightly satisfied","Very noticable","Very annoying","Very satisfied","Slightly noticable","Not at all annoying","Slightly satisfied","Extremely noticable","Very annoying","Slightly satisfied","Extremely noticable","Very annoying","Very satisfied","Slightly noticable","Not at all annoying","Very satisfied","Slightly noticable","Slightly annoying","Very satisfied","Slightly noticable","Slightly annoying","Slightly satisfied","Very noticable","Very annoying","Moderately satisfied","Very noticable","Moderately annoying",""
